"Data Source","World Development Indicators",

"Last Updated Date","2017-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bolivia","BOL","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73102","4.57725","3.88303","3.80475","3.40424","2.88698","","","3.05606","3.32641","5.03444","2.02403","4.44941","6.72115","10.12675","12.27273","10.74593","10.11426","",
"Brazil","BRA","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.92728","","1.14507","3.27259","5.70494","4.41469","3.92007","","7.52589","1.46169","3.41492","","4.30282","4.48625","6.22096","5.28494","","",
"Barbados","BRB","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","13.5575","11.94082","11.27367","","","1.18055","1.66707","1.76925","1.12382","","5.39135","5.49675","3.6808","","","","","","0.29479","2.39682","","10.2699","","","","","","","2.81721","4.43777","5.38093","8.06585","8.31483","9.50619","9.72216","7.92179","5.19928","3.18979","6.16263","4.91948","6.38363","","","8.51318","","",
"Brunei Darussalam","BRN","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","10.32437","9.43568","18.35364","17.63909","20.89954","22.40733","21.42834","21.18123","","19.58162","","","","","8.53882","6.4243","3.70141","3.75661","1.19547","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","77.18552","74.39137","","","","","","","","","","","","","","","","","","","45.00598","43.86399","40.83432","37.29005","","","","27.05964","23.27616","","17.93624","13.48545","11.50838","10.88221","9.28151","10.83776","11.01713","","",
"Botswana","BWA","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","56.36133","59.12868","57.51996","54.05899","49.76061","43.30126","38.76232","34.46367","33.4129","31.65401","27.33804","22.99881","","19.09375","18.77174","16.84634","15.84951","14.97577","14.46569","13.876","14.37089","12.21078","12.87872","13.4719","13.70971","22.6576","22.25914","","19.19792","19.52951","18.08063","16.08326","15.5169","15.2704","14.39118","15.31741","14.23061","15.03323","15.39823","14.99074","","","9.23334","8.63752","","","",
"Central African Republic","CAF","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","50.1781","47.67894","45.50513","","","","49.35023","49.52199","","","44.72665","43.07954","41.40531","","","38.84504","49.26058","51.55847","51.49792","42.5869","46.89344","","","","","","","","","","","","","","51.53027","51.18037","42.86271","33.52298","32.87221","30.30894","32.23491","29.15933","","","","",
"Canada","CAN","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","4.35676","4.6257","5.18936","5.33738","5.02064","4.95764","4.96151","4.72529","4.72395","2.17154","2.42862","4.05618","4.61172","5.73922","4.81115","","1.49252","0.21743","0.07795","","","","","","","","","","","","0.52252","0.54326","","","",
"Central Europe and the Baltics","CEB","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.30476999282837","3.85250997543335","4.43590021133423","4.37226009368896","4.20460987091064","4.16690015792847","4.09383010864258","4.35258007049561","4.68577003479004","4.69847011566162","3.97392988204956","3.54136991500854","3.33688998222351","3.10159993171692","3.52436995506287","3.78955006599426","4.12046003341675","4.24364995956421","","",
"Switzerland","CHE","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","24.34992","23.81667","","","22.86053","22.89739","23.26898","23.7933","23.8537","23.44428","22.26419","20.47689","18.41082","16.67714","15.84915","15.79111","16.57297","17.44774","11.00918","9.08804","","","0.51432","0.70276","0.77624","0.76932","0.76539","1.07532","1.92773","2.28202","2.16846","1.43702","0.95424","0.88981","0.73928","0.77225","0.36392","0.3564","","",
